sms_text,category,amount
Your Paytm UPI txn of Rs 900 for Doctor Consultation on 20-10-2023 succeeded. Ref: DOC321.,Medical,900.0
"Rs 1,200 debited via HDFC UPI for Electricity Bill on 21-10-2023. Ref: ELEC456.",Bills,1200.0
Payment of Rs 650 to Water Bill via SBI UPI on 22-10-2023. Ref: WTR789.,Bills,650.0
Rs 499 debited from Paytm UPI for Mobile Recharge on 23-10-2023. Ref: MOB012.,Bills,499.0
"Your HDFC UPI transaction of Rs 1,350 for DTH Subscription on 24-10-2023 completed. Ref: DTH345.",Bills,1350.0
"Rs 2,100 debited via SBI UPI for Netflix Subscription on 25-10-2023. Ref: NFX678.",Others,2100.0
"Payment of Rs 1,250 to Amazon order #AMZ901 on 26-10-2023 via Paytm UPI. Ref: AMZ234.",Others,1250.0
Rs 800 debited from HDFC UPI for BookMyShow tickets on 27-10-2023. Ref: BMS567.,Others,800.0
"Your SBI UPI txn of Rs 3,000 for Charity Donation on 28-10-2023 succeeded. Ref: CHR890.",Others,3000.0
Rs 950.25 debited via Paytm UPI for Zomato order #Z5678 on 29-10-2023. Ref: ZOM321.,Food,950.25
Payment of Rs 120 to Tea Stall at Bus Stop via HDFC UPI on 30-10-2023. Ref: TS654.,Food,120.0
"Rs 2,800 debited from SBI UPI for Swiggy order #SW9876 on 31-10-2023. Ref: SWG432.",Food,2800.0
"Your Paytm UPI transaction of Rs 2,200 for Restaurant dinner on 01-11-2023 completed. Ref: RST765.",Food,2200.0
Rs 400 debited via HDFC UPI for Blinkit delivery on 02-11-2023. Ref: BLK210.,Groceries,400.0
"Payment of Rs 1,300 to Zepto order #ZP1122 via SBI UPI on 03-11-2023. Ref: ZPT876.",Groceries,1300.0
"Rs 2,750 debited from Paytm UPI for DMart shopping on 04-11-2023. Ref: DMT543.",Groceries,2750.0
Your HDFC UPI txn of Rs 520 for Local Kirana purchase on 05-11-2023 succeeded. Ref: KRN987.,Groceries,520.0
Rs 275.75 debited via SBI UPI for Uber ride on 06-11-2023. Ref: UBR654.,Travel,275.75
Payment of Rs 165 to Rapido bike on 07-11-2023 via Paytm UPI. Ref: RAP321.,Travel,165.0
"Rs 3,600 debited from HDFC UPI for IRCTC tickets on 08-11-2023. Ref: IRCTC777.",Travel,3600.0
Your SBI UPI payment of Rs 850 for Petrol Bunk on 09-11-2023 successful. Ref: PET456.,Travel,850.0
"Rs 1,200 debited via Paytm UPI for Apollo Pharmacy on 10-11-2023. Ref: APH123.",Medical,1200.0
"Payment of Rs 3,000 to Hospital ABC via HDFC UPI on 11-11-2023. Ref: HSP987.",Medical,3000.0
Rs 620.50 debited from SBI UPI for LabTest services on 12-11-2023. Ref: LAB654.,Medical,620.5
Your Paytm UPI txn of Rs 950 for Doctor Consultation on 13-11-2023 succeeded. Ref: DOC321.,Medical,950.0
"Rs 1,400 debited via HDFC UPI for Electricity Bill on 14-11-2023. Ref: ELEC456.",Bills,1400.0
Payment of Rs 720 to Water Bill via SBI UPI on 15-11-2023. Ref: WTR789.,Bills,720.0
Rs 549 debited from Paytm UPI for Mobile Recharge on 16-11-2023. Ref: MOB012.,Bills,549.0
"Your HDFC UPI transaction of Rs 1,600 for DTH Subscription on 17-11-2023 completed. Ref: DTH345.",Bills,1600.0
"Rs 2,500 debited via SBI UPI for Amazon purchase on 18-11-2023. Ref: AMZ678.",Others,2500.0
"Payment of Rs 1,800 to Netflix via Paytm UPI on 19-11-2023. Ref: NFX901.",Others,1800.0
Rs 950 debited from HDFC UPI for BookMyShow tickets on 20-11-2023. Ref: BMS234.,Others,950.0
"Your SBI UPI txn of Rs 3,200 for Charity Donation on 21-11-2023 succeeded. Ref: CHR567.",Others,3200.0
Rs 780.25 debited via Paytm UPI for Zomato order #Z3456 on 22-11-2023. Ref: ZOM890.,Food,780.25
Payment of Rs 85 to Tea Stall near college via HDFC UPI on 23-11-2023. Ref: TS123.,Food,85.0
"Rs 2,450 debited from SBI UPI for Swiggy order #SW6543 on 24-11-2023. Ref: SWG321.",Food,2450.0
"Your Paytm UPI transaction of Rs 1,950 for Restaurant booking on 25-11-2023 completed. Ref: RST654.",Food,1950.0
Rs 380 debited via HDFC UPI for Blinkit groceries on 26-11-2023. Ref: BLK210.,Groceries,380.0
"Payment of Rs 1,150 to Zepto order #ZP7788 via SBI UPI on 27-11-2023. Ref: ZPT543.",Groceries,1150.0
"Rs 2,200 debited from Paytm UPI for DMart purchase on 28-11-2023. Ref: DMT876.",Groceries,2200.0
Your HDFC UPI txn of Rs 610 for Local Kirana shop on 29-11-2023 succeeded. Ref: KRN321.,Groceries,610.0
Rs 340.75 debited via SBI UPI for Uber ride on 30-11-2023. Ref: UBR654.,Travel,340.75
Payment of Rs 210 to Rapido bike on 01-12-2023 via Paytm UPI. Ref: RAP987.,Travel,210.0
"Rs 4,000 debited from HDFC UPI for IRCTC tickets on 02-12-2023. Ref: IRCTC111.",Travel,4000.0
Your SBI UPI payment of Rs 950 for Petrol Bunk on 03-12-2023 successful. Ref: PET222.,Travel,950.0
"Rs 1,350 debited via Paytm UPI for Apollo Pharmacy on 04-12-2023. Ref: APH333.",Medical,1350.0
"Payment of Rs 3,500 to Hospital XYZ via HDFC UPI on 05-12-2023. Ref: HSP444.",Medical,3500.0
Rs 720.50 debited from SBI UPI for LabTest services on 06-12-2023. Ref: LAB555.,Medical,720.5
"Your Paytm UPI txn of Rs 1,050 for Doctor Consultation on 07-12-2023 succeeded. Ref: DOC666.",Medical,1050.0
"Rs 1,600 debited via HDFC UPI for Electricity Bill on 08-12-2023. Ref: ELEC777.",Bills,1600.0
Payment of Rs 800 to Water Bill via SBI UPI on 09-12-2023. Ref: WTR888.,Bills,800.0
Rs 699 debited from Paytm UPI for Mobile Recharge on 10-12-2023. Ref: MOB999.,Bills,699.0
"Your HDFC UPI transaction of Rs 1,900 for DTH Subscription on 11-12-2023 completed. Ref: DTH101.",Bills,1900.0
"Rs 2,800 debited via SBI UPI for Amazon purchase on 12-12-2023. Ref: AMZ202.",Others,2800.0
"Payment of Rs 2,100 to Netflix via Paytm UPI on 13-12-2023. Ref: NFX303.",Others,2100.0
"Rs 1,050 debited from HDFC UPI for BookMyShow tickets on 14-12-2023. Ref: BMS404.",Others,1050.0
"Your SBI UPI txn of Rs 3,600 for Charity Donation on 15-12-2023 succeeded. Ref: CHR505.",Others,3600.0
Rs 890.75 debited via Paytm UPI for Zomato order #Z9012 on 16-12-2023. Ref: ZOM606.,Food,890.75
Payment of Rs 70 to Tea Stall at market via HDFC UPI on 17-12-2023. Ref: TS707.,Food,70.0
"Rs 2,200 debited from SBI UPI for Swiggy order #SW3456 on 18-12-2023. Ref: SWG808.",Food,2200.0
"Your Paytm UPI transaction of Rs 1,800 for Restaurant dinner on 19-12-2023 completed. Ref: RST909.",Food,1800.0
Rs 340 debited via HDFC UPI for Blinkit groceries on 20-12-2023. Ref: BLK010.,Groceries,340.0
"Payment of Rs 1,050 to Zepto order #ZP1122 via SBI UPI on 21-12-2023. Ref: ZPT111.",Groceries,1050.0
"Rs 2,350 debited from Paytm UPI for DMart purchase on 22-12-2023. Ref: DMT212.",Groceries,2350.0
Your HDFC UPI txn of Rs 590 for Local Kirana shop on 23-12-2023 succeeded. Ref: KRN313.,Groceries,590.0
Rs 295.25 debited via SBI UPI for Uber ride on 24-12-2023. Ref: UBR414.,Travel,295.25
Payment of Rs 175 to Rapido bike on 25-12-2023 via Paytm UPI. Ref: RAP515.,Travel,175.0
"Rs 3,800 debited from HDFC UPI for IRCTC tickets on 26-12-2023. Ref: IRCTC616.",Travel,3800.0
Your SBI UPI payment of Rs 880 for Petrol Bunk on 27-12-2023 successful. Ref: PET717.,Travel,880.0
"Rs 1,400 debited via Paytm UPI for Apollo Pharmacy on 28-12-2023. Ref: APH818.",Medical,1400.0
"Payment of Rs 4,200 to Hospital ABC via HDFC UPI on 29-12-2023. Ref: HSP919.",Medical,4200.0
Rs 680.50 debited from SBI UPI for LabTest services on 30-12-2023. Ref: LAB020.,Medical,680.5
"Your Paytm UPI txn of Rs 1,150 for Doctor Consultation on 31-12-2023 succeeded. Ref: DOC121.",Medical,1150.0
"Rs 1,800 debited via HDFC UPI for Electricity Bill on 01-01-2024. Ref: ELEC222.",Bills,1800.0
Payment of Rs 950 to Water Bill via SBI UPI on 02-01-2024. Ref: WTR323.,Bills,950.0
Rs 749 debited from Paytm UPI for Mobile Recharge on 03-01-2024. Ref: MOB424.,Bills,749.0
"Your HDFC UPI transaction of Rs 2,100 for DTH Subscription on 04-01-2024 completed. Ref: DTH525.",Bills,2100.0
"Rs 3,200 debited via SBI UPI for Amazon purchase on 05-01-2024. Ref: AMZ626.",Others,3200.0
"Payment of Rs 2,500 to Netflix via Paytm UPI on 06-01-2024. Ref: NFX727.",Others,2500.0
"Rs 1,200 debited from HDFC UPI for BookMyShow tickets on 07-01-2024. Ref: BMS828.",Others,1200.0
"Your SBI UPI txn of Rs 4,500 for Charity Donation on 08-01-2024 succeeded. Ref: CHR929.",Others,4500.0
Your SBI UPI payment of INR 499 to SWIGGY completed. Ref: 9876543210. 12-Dec-2025.,Food,499.0
Debit of INR 150.75 at LOCAL KIRANA via HDFC UPI. Transaction ID: KIR12345.,Groceries,150.75
"Paid INR 2,350 to IRCTC for train tickets. UPI Ref: IRCTC2025AB. SBI.",Travel,2350.0
"UPI payment of INR 1,200.50 to PETROL BUNK at Mumbai. Ref: PET123456. HDFC.",Travel,1200.5
Your Paytm UPI purchase of INR 85 at ZOMATO. Ref ID: ZOM12345.,Food,85.0
INR 320.00 spent on DMART via UPI. Ref: DMRT67890. HDFC Bank.,Groceries,320.0
UPI transaction of INR 75.25 to TEA STALL. Ref: TEA98765. SBI.,Food,75.25
"Paid INR 1,050 to RAPIDO for rides. UPI Ref: RAP1234. HDFC.",Travel,1050.0
"INR 2,199.99 debited for ULTRAMEDICAL services. Ref: MED56789. SBI.",Medical,2199.99
Your HDFC UPI payment of INR 560 to ZOMATO. Ref: ZOM5678.,Food,560.0
"UPI debit of INR 1,800 to BILLPAY for electricity. Ref: ELEC2025. Paytm.",Bills,1800.0
INR 210.00 spent at BLINKIT via UPI. Ref: BLK12345. SBI.,Groceries,210.0
Paid INR 650 to OLA for cab. UPI Ref: OLA9876. HDFC.,Travel,650.0
"UPI transaction of INR 1,250.75 to HOSPITAL XYZ. Ref: HSP12345. SBI.",Medical,1250.75
Your SBI UPI payment of INR 340 to SWIGGY. Ref: SWG5678.,Food,340.0
"INR 1,100 debited for gas at PETROL BUNK. Ref: GAS12345. Paytm.",Travel,1100.0
"Paid INR 2,500 to IRCTC for AC ticket. UPI Ref: IRCTC6789. HDFC.",Travel,2500.0
UPI payment of INR 90 to TEA STALL. Ref: TEA54321. SBI.,Food,90.0
"INR 1,450.60 spent at DMART via UPI. Ref: DMRT9876. Paytm.",Groceries,1450.6
Your HDFC UPI txn of INR 480 to ZOMATO. Ref: ZOM3456.,Food,480.0
"UPI debit of INR 2,300 for electricity bill. Ref: ELEC6789. SBI.",Bills,2300.0
INR 350.25 paid to BLINKIT. Ref: BLK54321. Paytm.,Groceries,350.25
Paid INR 720 to RAPIDO for city rides. UPI Ref: RAP9876. HDFC.,Travel,720.0
"Your SBI UPI payment of INR 1,999 to HOSPITAL ABC. Ref: MED1234.",Medical,1999.0
UPI transaction of INR 55 to TEA STALL. Ref: TEA6789. Paytm.,Food,55.0
"INR 2,200 debited for IRCTC reservation. Ref: IRCTC5432. SBI.",Travel,2200.0
"Paid INR 1,050 to OLA via UPI. Ref: OLA3456. Paytm.",Travel,1050.0
Your HDFC UPI payment of INR 650 to SWIGGY. Ref: SWG12345.,Food,650.0
"UPI debit of INR 1,300 for water bill. Ref: WTR5678. SBI.",Bills,1300.0
INR 210.50 spent at LOCAL KIRANA via Paytm UPI. Ref: KIR9876.,Groceries,210.5
Paid INR 85 to ZOMATO. Ref: ZOM2345. HDFC.,Food,85.0
"UPI transaction of INR 1,750 to PETROL BUNK. Ref: PET4567. SBI.",Travel,1750.0
"Your Paytm UPI payment of INR 1,200 to DMART. Ref: DMRT3456.",Groceries,1200.0
"INR 1,500.00 debited for hospital consultation. Ref: MED6789. HDFC.",Medical,1500.0
UPI payment of INR 300 to TEA STALL. Ref: TEA1234. SBI.,Food,300.0
"Paid INR 2,600 to IRCTC for group booking. Ref: IRCTC9876. Paytm.",Travel,2600.0
Your HDFC UPI txn of INR 425.75 to SWIGGY. Ref: SWG6789.,Food,425.75
INR 900 debited for electricity bill via UPI. Ref: ELEC2345. SBI.,Bills,900.0
UPI payment of INR 180 to BLINKIT. Ref: BLK1234. Paytm.,Groceries,180.0
Paid INR 560 to OLA for airport drop. Ref: OLA5678. HDFC.,Travel,560.0
"Your Paytm UPI payment of INR 2,199.99 to HOSPITAL XYZ. Ref: MED3456.",Medical,2199.99
UPI txn of INR 70 to TEA STALL. Ref: TEA9876. SBI.,Food,70.0
"INR 1,850 spent at DMART via UPI. Ref: DMRT5678. HDFC.",Groceries,1850.0
"Paid INR 1,300 to RAPIDO for rides. Ref: RAP3456. Paytm.",Travel,1300.0
"Your SBI UPI payment of INR 1,750 to HOSPITAL ABC. Ref: MED5678.",Medical,1750.0
UPI transaction of INR 95 to ZOMATO. Ref: ZOM4567. HDFC.,Food,95.0
"INR 2,400 debited for IRCTC ticket. Ref: IRCTC1234. Paytm.",Travel,2400.0
Paid INR 500 to SWIGGY via UPI. Ref: SWG7890. SBI.,Food,500.0
"Your Paytm UPI txn of INR 1,050 for water bill. Ref: WTR3456.",Bills,1050.0
UPI payment of INR 260 to BLINKIT. Ref: BLK7890. HDFC.,Groceries,260.0
Paid INR 780 to PETROL BUNK. Ref: PET1234. SBI.,Travel,780.0
"INR 2,100 debited for hospital surgery. Ref: MED9012. Paytm.",Medical,2100.0
UPI transaction of INR 65 to TEA STALL. Ref: TEA3456. HDFC.,Food,65.0
"Your SBI UPI payment of INR 1,600 to DMART. Ref: DMRT9012.",Groceries,1600.0
"Paid INR 1,250 to OLA for city rides. Ref: OLA3456. Paytm.",Travel,1250.0
"UPI debit of INR 2,200 for electricity bill. Ref: ELEC5678. HDFC.",Bills,2200.0
INR 340.00 spent at ZOMATO via UPI. Ref: ZOM7890. SBI.,Food,340.0
"Paid INR 1,450 to IRCTC for train reservation. Ref: IRCTC3456. Paytm.",Travel,1450.0
Your HDFC UPI payment of INR 420 to SWIGGY. Ref: SWG9012.,Food,420.0
UPI txn of INR 190.25 to BLINKIT. Ref: BLK3456. SBI.,Groceries,190.25
"INR 1,100 debited for PETROL BUNK fuel. Ref: PET5678. Paytm.",Travel,1100.0
"Paid INR 2,350 to HOSPITAL XYZ for treatment. Ref: MED9012. HDFC.",Medical,2350.0
UPI payment of INR 80 to TEA STALL. Ref: TEA5678. SBI.,Food,80.0
"Your Paytm UPI txn of INR 2,500 for IRCTC tickets. Ref: IRCTC7890.",Travel,2500.0
INR 550 spent at SWIGGY via UPI. Ref: SWG3456. HDFC.,Food,550.0
"Paid INR 1,300 to OLA for intercity travel. Ref: OLA9012. SBI.",Travel,1300.0
"UPI debit of INR 1,200 for water bill. Ref: WTR5678. Paytm.",Bills,1200.0
Your HDFC UPI payment of INR 275 to BLINKIT. Ref: BLK9012.,Groceries,275.0
"INR 1,750 debited for PETROL BUNK. Ref: PET3456. SBI.",Travel,1750.0
"Paid INR 3,000 to HOSPITAL ABC for surgery. Ref: MED1234. Paytm.",Medical,3000.0
UPI transaction of INR 60 to TEA STALL. Ref: TEA9012. HDFC.,Food,60.0
"Your SBI UPI payment of INR 1,800 to DMART. Ref: DMRT5678.",Groceries,1800.0
Paid INR 950 to RAPIDO for rides. Ref: RAP1234. Paytm.,Travel,950.0
"UPI debit of INR 2,100 for electricity bill. Ref: ELEC9012. HDFC.",Bills,2100.0
INR 310.00 spent at ZOMATO via UPI. Ref: ZOM5678. SBI.,Food,310.0
"Paid INR 1,650 to IRCTC for sleeper ticket. Ref: IRCTC9012. Paytm.",Travel,1650.0
Your Paytm UPI txn of INR 480 to SWIGGY. Ref: SWG5678.,Food,480.0
UPI payment of INR 210 to BLINKIT. Ref: BLK9012. HDFC.,Groceries,210.0
"INR 1,050 debited for PETROL BUNK fuel. Ref: PET7890. SBI.",Travel,1050.0
"Paid INR 2,800 to HOSPITAL XYZ for ICU charges. Ref: MED5678. Paytm.",Medical,2800.0
UPI transaction of INR 55 to TEA STALL. Ref: TEA7890. HDFC.,Food,55.0
"Your HDFC UPI payment of INR 2,200 to IRCTC. Ref: IRCTC5678.",Travel,2200.0
INR 620 spent at SWIGGY via UPI. Ref: SWG9012. SBI.,Food,620.0
"Paid INR 1,400 to OLA for rides. Ref: OLA5678. Paytm.",Travel,1400.0
UPI debit of INR 950 for water bill. Ref: WTR9012. HDFC.,Bills,950.0
Your Paytm UPI txn of INR 340 to BLINKIT. Ref: BLK5678.,Groceries,340.0
"INR 1,300 debited for PETROL BUNK. Ref: PET9012. SBI.",Travel,1300.0
"Paid INR 1,750 to HOSPITAL ABC for outpatient. Ref: MED3456. HDFC.",Medical,1750.0
UPI transaction of INR 70 to TEA STALL. Ref: TEA1234. Paytm.,Food,70.0
"Your SBI UPI payment of INR 1,950 to DMART. Ref: DMRT3456.",Groceries,1950.0
Paid INR 850 to RAPIDO for rides. Ref: RAP5678. HDFC.,Travel,850.0
"UPI debit of INR 2,300 for electricity bill. Ref: ELEC3456. Paytm.",Bills,2300.0
INR 280.00 spent at ZOMATO via UPI. Ref: ZOM1234. SBI.,Food,280.0
"Paid INR 1,800 to IRCTC for AC ticket. Ref: IRCTC3456. HDFC.",Travel,1800.0
Your Paytm UPI txn of INR 500 to SWIGGY. Ref: SWG1234.,Food,500.0
UPI payment of INR 190 to BLINKIT. Ref: BLK3456. SBI.,Groceries,190.0
"INR 1,200 debited for PETROL BUNK fuel. Ref: PET1234. Paytm.",Travel,1200.0
"Paid INR 2,600 to HOSPITAL XYZ for surgery. Ref: MED7890. HDFC.",Medical,2600.0
UPI transaction of INR 65 to TEA STALL. Ref: TEA3456. SBI.,Food,65.0
"Your HDFC UPI payment of INR 2,400 to IRCTC. Ref: IRCTC7890.",Travel,2400.0
INR 540 spent at SWIGGY via UPI. Ref: SWG3456. Paytm.,Food,540.0
"Paid INR 1,250 to OLA for rides. Ref: OLA1234. SBI.",Travel,1250.0
"UPI debit of INR 1,050 for water bill. Ref: WTR3456. HDFC.",Bills,1050.0
Your Paytm UPI txn of INR 315 to BLINKIT. Ref: BLK7890.,Groceries,315.0
"INR 1,500 debited for PETROL BUNK. Ref: PET3456. SBI.",Travel,1500.0
"Paid INR 3,200 to HOSPITAL ABC for critical care. Ref: MED1234. Paytm.",Medical,3200.0
UPI transaction of INR 80 to TEA STALL. Ref: TEA5678. HDFC.,Food,80.0
"Your SBI UPI payment of INR 2,050 to DMART. Ref: DMRT7890.",Groceries,2050.0
Paid INR 950 to RAPIDO for rides. Ref: RAP3456. Paytm.,Travel,950.0
"UPI debit of INR 2,400 for electricity bill. Ref: ELEC5678. HDFC.",Bills,2400.0
INR 330.00 spent at ZOMATO via UPI. Ref: ZOM7890. SBI.,Food,330.0
"Paid INR 1,700 to IRCTC for train booking. Ref: IRCTC1234. Paytm.",Travel,1700.0
Your Paytm UPI txn of INR 620 to SWIGGY. Ref: SWG5678.,Food,620.0
UPI payment of INR 225 to BLINKIT. Ref: BLK9012. HDFC.,Groceries,225.0
"INR 1,350 debited for PETROL BUNK fuel. Ref: PET5678. SBI.",Travel,1350.0
"Paid INR 2,900 to HOSPITAL XYZ for treatment. Ref: MED3456. Paytm.",Medical,2900.0
UPI transaction of INR 75 to TEA STALL. Ref: TEA9012. HDFC.,Food,75.0
"Your HDFC UPI payment of INR 2,300 to IRCTC. Ref: IRCTC5678.",Travel,2300.0
INR 480 spent at SWIGGY via UPI. Ref: SWG9012. SBI.,Food,480.0
"Paid INR 1,100 to OLA for rides. Ref: OLA3456. Paytm.",Travel,1100.0
"UPI debit of INR 1,200 for water bill. Ref: WTR5678. HDFC.",Bills,1200.0
Your Paytm UPI txn of INR 350 to BLINKIT. Ref: BLK1234.,Groceries,350.0
"INR 1,600 debited for PETROL BUNK. Ref: PET9012. SBI.",Travel,1600.0
"Paid INR 2,750 to HOSPITAL ABC for surgery. Ref: MED5678. HDFC.",Medical,2750.0
UPI transaction of INR 90 to TEA STALL. Ref: TEA1234. Paytm.,Food,90.0
"Your SBI UPI payment of INR 2,150 to DMART. Ref: DMRT5678.",Groceries,2150.0
Paid INR 800 to RAPIDO for rides. Ref: RAP9012. HDFC.,Travel,800.0
"UPI debit of INR 2,500 for electricity bill. Ref: ELEC1234. Paytm.",Bills,2500.0
INR 295.00 spent at ZOMATO via UPI. Ref: ZOM5678. SBI.,Food,295.0
"Paid INR 1,900 to IRCTC for AC ticket. Ref: IRCTC9012. HDFC.",Travel,1900.0
Your Paytm UPI txn of INR 540 to SWIGGY. Ref: SWG3456.,Food,540.0
UPI payment of INR 200 to BLINKIT. Ref: BLK5678. SBI.,Groceries,200.0
"INR 1,250 debited for PETROL BUNK fuel. Ref: PET3456. Paytm.",Travel,1250.0
"Paid INR 3,100 to HOSPITAL XYZ for ICU. Ref: MED7890. HDFC.",Medical,3100.0
UPI transaction of INR 85 to TEA STALL. Ref: TEA3456. Paytm.,Food,85.0
"Your HDFC UPI payment of INR 2,600 to IRCTC. Ref: IRCTC7890.",Travel,2600.0
INR 560 spent at SWIGGY via UPI. Ref: SWG9012. SBI.,Food,560.0
"Paid INR 1,300 to OLA for rides. Ref: OLA5678. Paytm.",Travel,1300.0
"UPI debit of INR 1,150 for water bill. Ref: WTR9012. HDFC.",Bills,1150.0
Your Paytm UPI txn of INR 380 to BLINKIT. Ref: BLK3456.,Groceries,380.0
"INR 1,750 debited for PETROL BUNK. Ref: PET1234. SBI.",Travel,1750.0
"Paid INR 2,900 to HOSPITAL ABC for treatment. Ref: MED3456. Paytm.",Medical,2900.0
UPI transaction of INR 95 to TEA STALL. Ref: TEA5678. HDFC.,Food,95.0
"Your SBI UPI payment of INR 2,050 to DMART. Ref: DMRT9012.",Groceries,2050.0
Paid INR 900 to RAPIDO for rides. Ref: RAP3456. Paytm.,Travel,900.0
INR 310.00 spent at ZOMATO via UPI. Ref: ZOM9012. SBI.,Food,310.0
"Paid INR 1,850 to IRCTC for train ticket. Ref: IRCTC3456. Paytm.",Travel,1850.0
Your Paytm UPI txn of INR 580 to SWIGGY. Ref: SWG1234.,Food,580.0
UPI payment of INR 240 to BLINKIT. Ref: BLK7890. HDFC.,Groceries,240.0
"INR 1,400 debited for PETROL BUNK fuel. Ref: PET5678. SBI.",Travel,1400.0
"Paid INR 2,750 to HOSPITAL XYZ for surgery. Ref: MED9012. Paytm.",Medical,2750.0
Alert: SBI UPI payment of INR 150 to SWIGGY-987654 completed. Transaction ID: SBI150SWG,Food,150.0
Paytm UPI debit of INR 45.75 to Tea Stall - Chai Point. Ref: TPAY20251209A1,Food,45.75
ICICI UPI txn of INR 850 to The Spice Kitchen (Restaurant). Ref No: ICICIR850,Food,850.0
Axis Bank UPI payment of INR 299 to Zomato Order #ZOM12345. Ref ID: AXIS299Z,Food,299.0
